"U_UCZELNIA_ID";"U_NAZWA_UCZELNI";"U_QS_CONTINUATION_RATE_1617";"U_QS_CONTINUATION_RATE_1718";"U_QS_CONTINUATION_RATE_1819";"U_QS_N_ABS_1ST_1617";"U_QS_N_ABS_2ST_1617";"U_QS_N_ABS_JMGR_1617";"U_QS_N_ABS_DR_1617";"U_QS_N_PRACA_1ST_1617";"U_QS_N_PRACA_2ST_1617";"U_QS_N_PRACA_JMGR_1617";"U_QS_N_PRACA_DR_1617";"U_QS_N_BEZR_1ST_1617";"U_QS_N_BEZR_2ST_1617";"U_QS_N_BEZR_JMGR_1617";"U_QS_N_BEZR_DR_1617";"U_QS_N_STUD_1ST_1617";"U_QS_N_STUD_2ST_1617";"U_QS_N_STUD_JMGR_1617";"U_QS_N_STUD_DR_1617";"U_QS_N_UNABLE_1ST_1617";"U_QS_N_UNABLE_2ST_1617";"U_QS_N_UNABLE_JMGR_1617";"U_QS_N_UNABLE_DR_1617";"U_QS_N_ABS_1ST_1718";"U_QS_N_ABS_2ST_1718";"U_QS_N_ABS_JMGR_1718";"U_QS_N_ABS_DR_1718";"U_QS_N_PRACA_1ST_1718";"U_QS_N_PRACA_2ST_1718";"U_QS_N_PRACA_JMGR_1718";"U_QS_N_PRACA_DR_1718";"U_QS_N_BEZR_1ST_1718";"U_QS_N_BEZR_2ST_1718";"U_QS_N_BEZR_JMGR_1718";"U_QS_N_BEZR_DR_1718";"U_QS_N_STUD_1ST_1718";"U_QS_N_STUD_2ST_1718";"U_QS_N_STUD_JMGR_1718";"U_QS_N_STUD_DR_1718";"U_QS_N_UNABLE_1ST_1718";"U_QS_N_UNABLE_2ST_1718";"U_QS_N_UNABLE_JMGR_1718";"U_QS_N_UNABLE_DR_1718";"U_QS_N_ABS_1ST_1819";"U_QS_N_ABS_2ST_1819";"U_QS_N_ABS_JMGR_1819";"U_QS_N_ABS_DR_1819";"U_QS_N_PRACA_1ST_1819";"U_QS_N_PRACA_2ST_1819";"U_QS_N_PRACA_JMGR_1819";"U_QS_N_PRACA_DR_1819";"U_QS_N_BEZR_1ST_1819";"U_QS_N_BEZR_2ST_1819";"U_QS_N_BEZR_JMGR_1819";"U_QS_N_BEZR_DR_1819";"U_QS_N_STUD_1ST_1819";"U_QS_N_STUD_2ST_1819";"U_QS_N_STUD_JMGR_1819";"U_QS_N_STUD_DR_1819";"U_QS_N_UNABLE_1ST_1819";"U_QS_N_UNABLE_2ST_1819";"U_QS_N_UNABLE_JMGR_1819";"U_QS_N_UNABLE_DR_1819";"U_QS_N_ABS_1ST_1920";"U_QS_N_ABS_2ST_1920";"U_QS_N_ABS_JMGR_1920";"U_QS_N_ABS_DR_1920";"U_QS_N_PRACA_1ST_1920";"U_QS_N_PRACA_2ST_1920";"U_QS_N_PRACA_JMGR_1920";"U_QS_N_PRACA_DR_1920";"U_QS_N_BEZR_1ST_1920";"U_QS_N_BEZR_2ST_1920";"U_QS_N_BEZR_JMGR_1920";"U_QS_N_BEZR_DR_1920";"U_QS_N_STUD_1ST_1920";"U_QS_N_STUD_2ST_1920";"U_QS_N_STUD_JMGR_1920";"U_QS_N_STUD_DR_1920";"U_QS_N_UNABLE_1ST_1920";"U_QS_N_UNABLE_2ST_1920";"U_QS_N_UNABLE_JMGR_1920";"U_QS_N_UNABLE_DR_1920";"U_QS_STUDENT_ENTREPRENEURSHIPS_1617";"U_QS_STUDENT_ENTREPRENEURSHIPS_1718";"U_QS_STUDENT_ENTREPRENEURSHIPS_1819";"U_QS_STUDENT_ENTREPRENEURSHIPS_1920";"U_GRUP_UNEMPLOYMENT_1ST_1617";"U_GRUP_UNEMPLOYMENT_MGR_1617";"U_GRUP_UNEMPLOYMENT_DR_1617";"U_GRUP_UNEMPLOYMENT_1ST_1718";"U_GRUP_UNEMPLOYMENT_MGR_1718";"U_GRUP_UNEMPLOYMENT_DR_1718";"U_GRUP_UNEMPLOYMENT_1ST_1819";"U_GRUP_UNEMPLOYMENT_MGR_1819";"U_GRUP_UNEMPLOYMENT_DR_1819";"U_GRUP_UNEMPLOYMENT_1ST_1920";"U_GRUP_UNEMPLOYMENT_MGR_1920";"U_GRUP_UNEMPLOYMENT_DR_1920";"U_UMULTI_UNEMPLOYMENT_1ST_1617";"U_UMULTI_UNEMPLOYMENT_2ST_1617";"U_UMULTI_UNEMPLOYMENT_JMGR_1617";"U_UMULTI_UNEMPLOYMENT_1ST_1718";"U_UMULTI_UNEMPLOYMENT_2ST_1718";"U_UMULTI_UNEMPLOYMENT_JMGR_1718";"U_UMULTI_UNEMPLOYMENT_1ST_1819";"U_UMULTI_UNEMPLOYMENT_2ST_1819";"U_UMULTI_UNEMPLOYMENT_JMGR_1819";"U_UMULTI_REGION_1ST_1617";"U_UMULTI_REGION_2ST_1617";"U_UMULTI_REGION_JMGR_1617";"U_UMULTI_REGION_1ST_1718";"U_UMULTI_REGION_2ST_1718";"U_UMULTI_REGION_JMGR_1718";"U_UMULTI_REGION_1ST_1819";"U_UMULTI_REGION_2ST_1819";"U_UMULTI_REGION_JMGR_1819";"U_UMULTI_N_16";"U_UMULTI_N_17";"U_UMULTI_N_18";"U_UMULTI_N_19";"U_UMULTI_N_20";"U_UMULTI_NFIRM_18";"U_UMULTI_NFIRM_19";"U_UMULTI_NFIRM_20";"U_UMULTI_NFIRM_21"
2001;"Wyższa Szkoła Nauk Pedagogicznych";50;73,7;22;22;157;0;0;19;123;0;0;0;11;0;0;0;2;0;0;1;2;0;0;38;119;0;0;31;105;0;0;4;2;0;0;3;5;0;0;2;1;0;0;50;120;0;0;40;107;0;0;3;0;0;0;7;3;0;0;2;0;0;0;5;14;0;0;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;9;6;1;0;8,9;;2,6;2,5;;6;2,5;;0;0;;0;6;;;0;;;0;;36,4;17,6;;8,1;9,6;;6;9,4;;129;202;113;189;0;14;16;15;7
2002;"Warszawska Szkoła Wyższa z siedzibą w Otwocku";56,2;25,5;41,9;32;0;0;0;30;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;55;0;0;0;46;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;31;0;0;0;29;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;35;0;0;0;33;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;3;0;3;3,1;;;0;;;3,2;;;5,7;;;0;;;4,7;;;0;;;87,1;;;70,9;;;90,3;;;55;40;43;32;34;8;7;1;2
2004;"Wyższa Szkoła Języków Obcych w Szczecinie";;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;0;0;0;0;1;0;0;0
2005;"Wyższa Szkoła Pedagogiczna Związku Nauczycielstwa Polskiego w Warszawie";;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;209;0;0;0;0;4;0;0;0
2006;"Wyższa Szkoła Informatyki i Zarządzania COPERNICUS we Wrocławiu";31,3;35,9;33,3;163;0;0;0;141;0;0;0;4;0;0;0;7;0;0;0;1;0;0;0;145;0;0;0;126;0;0;0;4;0;0;0;7;0;0;0;2;0;0;0;108;0;0;0;93;0;0;0;0;0;0;0;8;0;0;0;2;0;0;0;68;18;0;0;64;16;0;0;2;0;0;0;1;0;0;0;0;0;0;0;13;16;10;19;3,7;;;5,5;;;0,9;;;2,9;0;;3,3;;;3,1;;;0;;;66,7;;;62,3;;;67,9;;;150;162;133;105;97;38;36;28;39
2007;"Społeczna Akademia Nauk z siedzibą w Łodzi";53,3;51,1;46,6;2164;1857;50;0;1561;1478;43;0;82;54;1;0;337;50;1;0;30;44;0;0;2305;1775;63;0;1602;1463;50;0;71;46;4;0;370;33;8;0;40;41;1;0;2206;1737;68;0;1433;1364;58;0;84;65;1;0;355;37;3;0;26;38;2;0;2300;1876;50;0;1509;1468;44;0;73;64;0;0;433;108;1;0;37;47;1;0;223;250;207;201;4,3;4,5;;3,1;3,7;;3,9;3,5;;3,1;4,4;;3,9;2,5;2,1;2,9;2,4;4;3,2;3,5;2,5;53,2;47,3;74;47,4;47,6;74,6;45;48,5;73,5;3883;4278;4171;4096;4025;519;517;458;449
2008;"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach";48;43,2;51,8;446;276;0;0;339;221;0;0;10;3;0;0;59;3;0;0;9;2;0;0;417;259;0;0;351;205;0;0;4;3;0;0;35;0;0;0;6;1;0;0;313;276;0;0;232;225;0;0;11;10;0;0;54;2;0;0;6;6;0;0;237;156;0;0;173;124;0;0;10;4;0;0;46;4;0;0;6;1;0;0;27;37;23;14;4,5;2,9;;1,7;1,5;;2,6;5,1;;3,4;3,2;;3,2;1,1;;1,3;1,2;;2;3,9;;68,2;71;;74,5;70,2;;64,6;69,9;;634;758;580;584;407;68;76;58;42
2009;"Polsko-Japońska Akademia Technik Komputerowych";29,8;35,3;31,4;413;107;7;2;261;88;4;2;8;3;0;0;66;0;0;0;2;0;0;0;439;115;10;5;267;99;7;5;11;3;1;0;86;0;0;0;1;1;0;0;462;101;9;0;274;77;5;0;9;5;1;0;81;4;0;0;0;1;0;0;595;167;1;1;349;137;1;0;7;0;0;0;110;3;0;0;1;0;0;0;91;102;99;140;2,9;3,5;;2,7;2,4;0;1,7;0,9;;2;1,2;;2;2,8;0;3,7;2,7;10;2,4;4,3;11,1;46,3;60,7;42,9;50;57,9;40;46,1;53,5;44,4;559;519;569;568;762;228;247;241;283
2010;"Wyższa Szkoła Filologiczna we Wrocławiu";49,7;42,3;44;191;123;0;0;117;100;0;0;6;1;0;0;47;4;0;0;6;1;0;0;194;155;0;0;124;111;0;0;1;2;0;0;37;4;0;0;2;0;0;0;248;146;0;0;146;118;0;0;9;2;0;0;51;1;0;0;3;2;0;0;270;151;0;0;160;122;0;0;10;5;0;0;60;2;0;0;1;1;0;0;19;18;24;21;2,6;5,7;;2,1;4,5;;3,6;2,1;;2,6;2,6;;5,5;0,9;;0,9;1,4;;3,4;0,7;;43,2;56,2;;42,3;47,1;;37,7;52,8;;377;300;363;360;399;51;36;46;57
2012;"Uczelnia Jana Wyżykowskiego";29,4;32,8;29,1;218;55;0;0;184;44;0;0;5;0;0;0;10;0;0;0;4;2;0;0;177;47;0;0;156;42;0;0;8;1;0;0;3;0;0;0;3;0;0;0;175;49;0;0;147;44;0;0;5;0;0;0;11;0;0;0;3;2;0;0;179;44;0;0;157;39;0;0;7;0;0;0;4;0;0;0;4;1;0;0;9;11;13;9;4,1;1,8;;5,6;0;;1,1;2;;1,1;2,3;;1,3;0;;4,9;2,2;;2,4;0;;80;74,5;;82,9;83;;80,5;81,6;;289;297;230;218;217;27;28;20;22
