"UD_ROK_DR_GRUP3";"UD_UCZELNIA_ID";"UD_DZIE_KOD_EXE";"UD_DZIEDZINA_EXE";"UD_N";"UD_PROC_DROPOUT";"UD_DROP_1";"UD_DROP_2";"UD_DROP_3";"UD_DROP_4";"UD_DROP_5PLUS";"UD_TERM_DYP";"UD_TERMP1_DYP";"UD_TERMP2_DYP";"UD_DLSTUD";"UD_N_WZUS";"UD_N_POZAZUS";"UD_PROC_WZUS";"UD_PROC_POZAZUS";"UD_CZY_PRACA_K";"UD_CZY_PRACA_K1";"UD_CZY_PRACA_K2";"UD_CZY_PRACA_K3";"UD_CZY_PRACA_K4";"UD_CZY_PRACA_K5";"UD_CZY_PRACA_K6";"UD_CZY_ETAT_K";"UD_CZY_ETAT_K1";"UD_CZY_ETAT_K2";"UD_CZY_ETAT_K3";"UD_CZY_ETAT_K4";"UD_CZY_ETAT_K5";"UD_CZY_ETAT_K6";"UD_CZY_SAMOZ_K";"UD_CZY_SAMOZ_K1";"UD_CZY_SAMOZ_K2";"UD_CZY_SAMOZ_K3";"UD_CZY_SAMOZ_K4";"UD_CZY_SAMOZ_K5";"UD_CZY_SAMOZ_K6";"UD_PROC_MIES_PRACA_K";"UD_PROC_MIES_PRACA_K1";"UD_PROC_MIES_PRACA_K2";"UD_PROC_MIES_PRACA_K3";"UD_PROC_MIES_PRACA_K4";"UD_PROC_MIES_PRACA_K5";"UD_PROC_MIES_PRACA_K6";"UD_PROC_MIES_ETAT_K";"UD_PROC_MIES_ETAT_K1";"UD_PROC_MIES_ETAT_K2";"UD_PROC_MIES_ETAT_K3";"UD_PROC_MIES_ETAT_K4";"UD_PROC_MIES_ETAT_K5";"UD_PROC_MIES_ETAT_K6";"UD_PROC_MIES_SAMOZ_K";"UD_PROC_MIES_SAMOZ_K1";"UD_PROC_MIES_SAMOZ_K2";"UD_PROC_MIES_SAMOZ_K3";"UD_PROC_MIES_SAMOZ_K4";"UD_PROC_MIES_SAMOZ_K5";"UD_PROC_MIES_SAMOZ_K6";"UD_E_ZAR_K";"UD_E_ZAR_K1";"UD_E_ZAR_K2";"UD_E_ZAR_K3";"UD_E_ZAR_K4";"UD_E_ZAR_K5";"UD_E_ZAR_K6";"UD_E_ZAR_ETAT_K";"UD_E_ZAR_ETAT_K1";"UD_E_ZAR_ETAT_K2";"UD_E_ZAR_ETAT_K3";"UD_E_ZAR_ETAT_K4";"UD_E_ZAR_ETAT_K5";"UD_E_ZAR_ETAT_K6";"UD_WWZ_K";"UD_WWZ_K1";"UD_WWZ_K2";"UD_WWZ_K3";"UD_WWZ_K4";"UD_WWZ_K5";"UD_WWZ_K6";"UD_N_DROPP1";"UD_N_DROPP2";"UD_N_DROPP3";"UD_N_DROPP4";"UD_N_DROPP5";"UD_N_DYPP1";"UD_N_DYPP2";"UD_N_DYPP3";"UD_N_DYPP4";"UD_N_DYPP5";"UD_CZY_PRACA_DROPP1";"UD_CZY_PRACA_DROPP2";"UD_CZY_PRACA_DROPP3";"UD_CZY_PRACA_DROPP4";"UD_CZY_PRACA_DROPP5";"UD_CZY_PRACA_DYPP1";"UD_CZY_PRACA_DYPP2";"UD_CZY_PRACA_DYPP3";"UD_CZY_PRACA_DYPP4";"UD_CZY_PRACA_DYPP5";"UD_CZY_ETAT_DROPP1";"UD_CZY_ETAT_DROPP2";"UD_CZY_ETAT_DROPP3";"UD_CZY_ETAT_DROPP4";"UD_CZY_ETAT_DROPP5";"UD_CZY_ETAT_DYPP1";"UD_CZY_ETAT_DYPP2";"UD_CZY_ETAT_DYPP3";"UD_CZY_ETAT_DYPP4";"UD_CZY_ETAT_DYPP5";"UD_CZY_SAMOZ_DROPP1";"UD_CZY_SAMOZ_DROPP2";"UD_CZY_SAMOZ_DROPP3";"UD_CZY_SAMOZ_DROPP4";"UD_CZY_SAMOZ_DROPP5";"UD_CZY_SAMOZ_DYPP1";"UD_CZY_SAMOZ_DYPP2";"UD_CZY_SAMOZ_DYPP3";"UD_CZY_SAMOZ_DYPP4";"UD_CZY_SAMOZ_DYPP5";"UD_PROC_MIES_PRACA_DROPP1";"UD_PROC_MIES_PRACA_DROPP2";"UD_PROC_MIES_PRACA_DROPP3";"UD_PROC_MIES_PRACA_DROPP4";"UD_PROC_MIES_PRACA_DROPP5";"UD_PROC_MIES_PRACA_DYPP1";"UD_PROC_MIES_PRACA_DYPP2";"UD_PROC_MIES_PRACA_DYPP3";"UD_PROC_MIES_PRACA_DYPP4";"UD_PROC_MIES_PRACA_DYPP5";"UD_PROC_MIES_ETAT_DROPP1";"UD_PROC_MIES_ETAT_DROPP2";"UD_PROC_MIES_ETAT_DROPP3";"UD_PROC_MIES_ETAT_DROPP4";"UD_PROC_MIES_ETAT_DROPP5";"UD_PROC_MIES_ETAT_DYPP1";"UD_PROC_MIES_ETAT_DYPP2";"UD_PROC_MIES_ETAT_DYPP3";"UD_PROC_MIES_ETAT_DYPP4";"UD_PROC_MIES_ETAT_DYPP5";"UD_PROC_MIES_SAMOZ_DROPP1";"UD_PROC_MIES_SAMOZ_DROPP2";"UD_PROC_MIES_SAMOZ_DROPP3";"UD_PROC_MIES_SAMOZ_DROPP4";"UD_PROC_MIES_SAMOZ_DROPP5";"UD_PROC_MIES_SAMOZ_DYPP1";"UD_PROC_MIES_SAMOZ_DYPP2";"UD_PROC_MIES_SAMOZ_DYPP3";"UD_PROC_MIES_SAMOZ_DYPP4";"UD_PROC_MIES_SAMOZ_DYPP5";"UD_WWB_DROPP1";"UD_WWB_DROPP2";"UD_WWB_DROPP3";"UD_WWB_DROPP4";"UD_WWB_DROPP5";"UD_WWB_DYPP1";"UD_WWB_DYPP2";"UD_WWB_DYPP3";"UD_WWB_DYPP4";"UD_WWB_DYPP5";"UD_WWZ_DROPP1";"UD_WWZ_DROPP2";"UD_WWZ_DROPP3";"UD_WWZ_DROPP4";"UD_WWZ_DROPP5";"UD_WWZ_DYPP1";"UD_WWZ_DYPP2";"UD_WWZ_DYPP3";"UD_WWZ_DYPP4";"UD_WWZ_DYPP5";"UD_NAZWA_UCZELNI";"UD_UCZELNIA_SKROT"
"2014 - 2016";2009;2;"Dziedzina nauk inżynieryjno-technicznych";63;95,2;13,3;26,7;8,3;20;31,7;0;1,6;;;61;2;96,8;3,2;95,2;84,1;88,9;92,1;88,9;90,5;;69,8;58,7;60,3;60,3;63,5;57,1;;46;42,9;42,9;46;44,4;46;;80,2;76,9;80,7;86,4;86;85,7;;52,3;50,5;49,5;55,6;57,8;53,4;;34,6;37,4;40,1;39,8;41,1;43,9;;9109,09;8520,76;9203,04;9332,96;11322,53;11942,09;;9844,21;8928,57;10238,9;10841,74;12080,96;12664,26;;1,7;1,74;1,72;1,67;1,86;1,9;;55;46;28;24;13;1;0;0;0;0;93,6;92,1;90;87,5;66,7;;;;;;57,4;65,8;50;68,8;50;;;;;;46,8;50;60;56,2;33,3;;;;;;91,8;89,3;89,2;86,5;66,7;;;;;;53,7;59,2;49,6;58,3;50;;;;;;44;49,3;59,6;47,9;33,3;;;;;;0,25;0;0;0;0;;;;;;1,79;2,02;2,22;2,27;1,44;;;;;;"Polsko-Japońska Akademia Technik Komputerowych";"PJWSTK"
"2014 - 2016";2025;1;"Dziedzina nauk humanistycznych";65;50,8;0;18,2;27,3;12,1;42,4;3,1;6,2;;;65;0;100;0;96,9;92,3;87,7;87,7;90,8;90,8;;72,3;58,5;55,4;49,2;52,3;60;;27,7;18,5;20;21,5;23,1;29,2;;81,4;79,1;83,7;80,1;82,8;83,5;;50,3;48,5;51;45;47,1;53,7;;16,2;15,5;16;17,8;22,1;23,6;;4437,72;3942,03;4540,26;4344,18;4681,27;5353,64;;5366,8;4819,72;5462,57;5826,4;5792,22;6141,22;;0,84;0,82;0,92;0,86;0,84;0,88;;26;21;14;6;0;8;4;2;0;0;92,3;90,5;92,9;83,3;;75;50;;;;46,2;42,9;64,3;50;;62,5;50;;;;38,5;38,1;28,6;33,3;;12,5;25;;;;85,3;87,7;85,7;83,3;;75;50;;;;44,2;39,3;57,7;50;;51;50;;;;31,7;36,1;22,6;33,3;;12,5;25;;;;0;0,17;0;0;;0;0;;;;0,84;0,79;0,72;0,63;;0,71;;;;;"SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie";"SWPSW"
"2014 - 2016";2025;6;"Dziedzina nauk społecznych";145;51;9,5;17,6;28,4;10,8;33,8;0;6,9;;;143;2;98,6;1,4;96,6;88,3;94,5;93,1;91;91,7;;76,6;59,3;63,4;64,8;62,8;60,7;;44,1;29,7;29,7;30,3;30,3;37,2;;82,8;76,8;85,1;86,7;84,9;86,8;;53;49,8;55,3;56,3;56,7;53;;26,2;24,2;24,8;25;27;32,8;;4422,7;3767,08;4071,44;5094,65;5466,57;5944,37;;5086,77;4654,45;4951,17;5561,57;5889,75;6492,87;;0,86;0,82;0,82;0,96;0,97;1;;65;56;44;21;1;15;7;4;0;0;86,2;87,8;89,2;92,9;;100;100;100;;;65,5;57,1;54,1;42,9;;93,3;100;100;;;37,9;46,9;48,6;50;;20;28,6;25;;;84,9;83,5;85,8;86,9;;96,1;100;100;;;58,8;49,1;45,3;42,9;;87,8;100;100;;;33,2;40,5;46,8;49,4;;20;28,6;25;;;0,56;0,46;0,08;0,11;;0;0;0;;;1,03;1,31;1,29;0,97;;1,19;1,42;1,73;;;"SWPS Uniwersytet Humanistycznospołeczny z siedzibą w Warszawie";"SWPSW"
"2014 - 2016";2100;6;"Dziedzina nauk społecznych";157;65,6;10,7;17,5;15,5;12,6;43,7;4,5;6,4;;;140;17;89,2;10,8;86;83,4;82,8;84,1;83,4;82,2;;82,8;72,6;74,5;75,8;79;76,4;;20,4;14;17,2;15,9;15,3;14;;79,5;79,1;76,4;78,6;80,2;79;;70,7;67,9;68,2;70,9;73,9;72,6;;13,1;12,6;13;14,1;12,6;13,2;;4383,48;3956,01;4215,02;4501,24;4915,59;5644,79;;4252,08;3964,39;4204,78;4457,79;4816,48;5618,06;;0,96;0,97;0,98;0,98;0,99;1,05;;73;67;51;29;13;10;7;0;0;0;91,9;87,5;90;88,9;71,4;60;57,1;;;;77,4;80,4;80;88,9;42,9;60;57,1;;;;22,6;19,6;22,5;16,7;0;10;0;;;;82,8;85,7;88,5;85,6;56;59,2;57,1;;;;73,4;76,9;77,5;78,2;41,7;58,3;57,1;;;;18;18,5;21;16,2;0;10;0;;;;0,82;0,89;0,89;0;0;0;0;;;;1;1,02;0,93;1,01;1,07;1,31;1,35;;;;"Dolnośląska Szkoła Wyższa z siedzibą we Wrocławiu";"DSW"
"2014 - 2016";2150;6;"Dziedzina nauk społecznych";234;88;17,5;17,5;11,2;23,8;30,1;0,4;2,1;;;216;18;92,3;7,7;85,5;82,9;83,7;83,3;84,5;84,1;;72,2;66,7;67,8;67;69,1;67;;28,6;20,5;21,5;19,7;22,3;26,6;;77,8;75,7;79,1;79,6;79,5;80,8;;60,6;58,2;61,9;62,6;61,7;61,2;;17,1;17,2;17,6;17,6;18,9;23,7;;8515,51;7745,45;8610;9508,1;10924,04;11351,97;;8953,56;8506,38;8682,63;9627,05;10415,63;11271,89;;1,66;1,64;1,7;1,77;1,92;1,83;;205;173;126;71;48;9;7;5;0;0;85,3;81,9;79,1;63,9;61,1;66,7;71,4;;;;70,6;65,9;60,4;47,2;38,9;55,6;57,1;;;;26,5;24,6;24,2;25;27,8;11,1;14,3;;;;81,9;78,4;73,4;62,7;60,2;66,7;71,4;;;;63,7;60,7;55,5;44,9;38;55,6;57,1;;;;23,2;21,6;23;24,3;27,8;11,1;14,3;;;;0,35;0,23;1,08;3,85;0;0;0;;;;1,67;1,72;1,65;1,64;1,23;2,26;2,48;;;;"Akademia Leona Koźmińskiego w Warszawie";"ALKW"
"2014 - 2016";2213;6;"Dziedzina nauk społecznych";51;52,9;14,8;11,1;7,4;25,9;40,7;0;0;;;51;0;100;0;86,3;66,7;68,6;72,5;82,4;86,3;;58,8;37,3;52,9;58,8;64,7;66,7;;21,6;9,8;9,8;9,8;19,6;19,6;;61,3;53,6;58,7;64,9;69,4;77,3;;40,8;34;44,6;52,5;57,7;57,8;;11;9,5;7,5;9,5;11,6;19,4;;3059,64;2620,77;3006,57;3509,34;3608,05;4040,35;;3811,16;3598,59;3500,88;3843,08;3598,91;4011,66;;0,65;0,68;0,74;0,79;0,73;0,75;;26;23;13;8;5;0;0;0;0;0;81,8;94,7;66,7;75;;;;;;;54,5;68,4;44,4;25;;;;;;;31,8;31,6;22,2;25;;;;;;;73,1;78,1;63;54,2;;;;;;;50,8;57;40,7;25;;;;;;;26,5;26,3;22,2;25;;;;;;;1,77;1,74;7,04;10,17;;;;;;;0,7;0,6;1,03;;;;;;;;"Krakowska Akademia im. Andrzeja Frycza Modrzewskiego w Krakowie";"KAAFMK"
"2014 - 2016";3828;1;"Dziedzina nauk humanistycznych";856;68,1;8,1;10,5;9,8;18,4;53,3;1,1;4,2;;;805;51;94;6;87,9;66,8;74,4;74,6;76,5;77,2;;66,8;44,4;50,1;52,5;54;56,1;;12,5;7,7;7,5;7,5;8,5;10,3;;59,7;52,5;59,4;61,4;64,4;66,6;;41,7;35,7;41;44,7;47,1;49,7;;6,3;5,9;6,2;5,8;6,7;8,5;;3138,97;2820,96;2998,57;3430,75;3797,81;4377,68;;3979,72;3584,93;3834,08;4285,12;4684,59;5133,86;;0,59;0,6;0,6;0,64;0,66;0,72;;448;337;217;148;92;73;47;17;1;0;80,5;79,3;77,1;73,3;70,9;86,1;87,2;90,9;;;64,1;64,1;63,5;61,4;56,4;68,1;66,7;72,7;;;11,5;12,1;15,9;11,9;14,5;9,7;15,4;18,2;;;73,8;73,7;72,1;67,7;69,5;78,4;81,8;76,9;;;57,7;59,6;60,1;57,6;55,5;59,4;65,2;66,7;;;10;10,2;12,1;10,1;12,7;8,1;15;18,2;;;0,61;0,3;0,27;0,57;0,4;0,16;0;0;;;0,82;0,89;0,98;1,12;1,03;0,81;0,95;1,11;;;"Uniwersytet Warszawski";"UW"
"2014 - 2016";3828;5;"Dziedzina nauk ścisłych i przyrodniczych";484;52,5;15,7;10,2;8,7;10,2;55,1;5,4;15,9;;;459;25;94,8;5,2;82;48,8;53,3;57,6;60,1;66,1;;57,9;28,5;31,8;35,5;38,2;49,8;;7,4;3,9;4,3;5;6;7,4;;40,8;33,7;37,8;40,6;44,3;52,8;;27,7;21,6;25,6;28,2;31,5;41,3;;3,4;2,6;3,1;3,8;4,6;5,7;;3235,4;2424,87;2801,13;3234,77;3985,87;5176,31;;4653,84;3494,45;3891,84;4681,36;5352,11;6109,42;;0,59;0,52;0,57;0,62;0,71;0,83;;171;131;93;74;42;104;62;22;3;1;76,3;76,9;83;76,5;75;76,5;70,7;75;33,3;;63,4;65,9;58,5;61,8;50;72,5;69;75;33,3;;12,2;15,4;20,8;29,4;16,7;2;1,7;0;0;;69,5;69,6;74,5;74;75;68,8;67,1;67,5;33,3;;55,7;57,7;56;55,9;50;64,5;64,6;67,1;33,3;;10,2;12,4;18,4;19,1;16,7;1,1;1,4;0;0;;0,55;0,54;0,63;0,36;0;0,34;0;0;0;;0,9;0,97;1,14;1,05;0,7;1,05;1,39;1,22;;;"Uniwersytet Warszawski";"UW"
"2014 - 2016";3828;6;"Dziedzina nauk społecznych";950;75,5;13,7;11,9;12,6;21,2;40,7;2,7;6,6;;;874;76;92;8;86,4;76,8;81,2;81,8;80,3;80,7;;71,6;57,2;60,9;61,2;59,5;58,8;;23,5;13,7;15,3;17,6;20,7;23,2;;70,7;64,4;71,4;73,1;73,1;74,5;;51,6;46,5;53,1;53,9;53;53,5;;13,2;10,3;12,2;14,4;17,2;19,7;;6107,91;5387,08;5384,15;6133,87;7076,34;7804,7;;6988,36;6287,68;6226,98;7085,87;7946,36;8673,07;;1,16;1,11;1,07;1,13;1,23;1,26;;564;463;322;234;133;100;72;29;15;2;79,8;78,6;78,6;74,3;72,6;91,8;87,5;84,2;85,7;;60,7;61,6;58;52,9;53,2;73,5;75;78,9;71,4;;24,5;23,6;21,9;19,1;21;24,5;25;15,8;14,3;;75,5;73,2;73,1;68,4;68,7;81,6;84;78,6;82,1;;56,5;54,7;54,1;49,8;48,3;63;70,8;72,1;71,4;;20;20,3;19;16,5;18,1;20,4;24;15,8;14,3;;0,43;0,89;0,73;0,89;0,19;1,24;0,11;0,31;0;;1,4;1,53;1,41;1,52;1,98;1,2;1,35;1,58;1,69;;"Uniwersytet Warszawski";"UW"
"2014 - 2016";3829;1;"Dziedzina nauk humanistycznych";107;68,2;17,8;12,3;13,7;26;30,1;0,9;6,5;;;104;3;97,2;2,8;89,7;76,6;77,6;81,3;86,9;86;;77,6;57,9;62,6;66,4;71;73,8;;11,2;9,3;7,5;9,3;12,1;7,5;;67,9;61,1;69,9;73,7;76,2;79,2;;53,1;44,3;54,4;58,1;62,9;66,5;;6,1;7,9;6;6,4;7,9;7,5;;2822,58;2467,31;2780,12;3008,79;3399,33;3901,05;;3024,77;2653,84;3004,02;3192,22;3504,09;3982,22;;0,68;0,66;0,71;0,72;0,75;0,8;;64;51;37;22;16;21;16;8;0;0;80,4;89,5;83,3;55,6;75;100;100;100;;;66,7;71,1;58,3;55,6;50;90,5;100;100;;;11,8;15,8;20,8;22,2;0;0;0;0;;;72,9;81,1;78,5;55,6;41,7;99,6;100;100;;;59,5;65,8;50,7;47,2;39,6;88,9;100;100;;;9,8;12,5;20,8;13,9;0;0;0;0;;;0,68;0,58;0,6;0;0;0;0;0;;;0,81;0,85;0,67;0,69;1,1;0,88;1,07;0,91;;;"Uniwersytet w Białymstoku";"UWB"
"2014 - 2016";3829;5;"Dziedzina nauk ścisłych i przyrodniczych";42;64,3;40,7;7,4;22,2;3,7;25,9;0;9,5;;;41;1;97,6;2,4;83,3;73,8;88,1;88,1;83,3;88,1;;78,6;69;71,4;78,6;78,6;83,3;;0;0;0;0;0;2,4;;61,1;54,8;72;74,2;81;78,6;;54,5;50,6;60,7;67,1;76,4;76,2;;0;0;0;0;0;1,2;;2714,23;2352,9;2675,93;3137,81;3299,44;4360,57;;2904,67;2464,64;3050,76;3529,49;3464,3;4499,94;;0,64;0,61;0,66;0,72;0,72;0,88;;26;22;20;15;9;7;3;1;0;0;73,3;81,8;88,9;75;;100;;;;;73,3;81,8;88,9;75;;100;;;;;6,7;0;0;0;;0;;;;;72,8;72,7;88;75;;100;;;;;72,8;72,7;88;75;;100;;;;;3,9;0;0;0;;0;;;;;1,12;0;0,29;0;;0;;;;;0,85;0,78;0,86;0,7;;1,31;;;;;"Uniwersytet w Białymstoku";"UWB"
"2014 - 2016";3829;6;"Dziedzina nauk społecznych";209;77;20,5;11,8;14,3;21,7;31,7;1,4;8,6;;;202;7;96,7;3,3;86,6;69,9;79,9;84,7;85,6;90,9;;71,8;54,5;62,2;67;67,5;68,9;;18,7;8,1;11,5;15,3;18,7;25,8;;65,7;54,6;69,8;74,8;76,7;85,1;;51;40,9;54,7;58,3;61;63,2;;10,9;6,7;8,7;13,1;14,9;23,6;;3223,92;2652,98;3133,93;3636,05;4188,27;5173,78;;3466,87;2893,63;3399,82;3861,96;4495,05;5353,76;;0,76;0,69;0,77;0,84;0,91;1,01;;135;109;85;54;27;28;17;11;1;1;86,3;93,4;96,2;95,2;100;100;100;100;;;63,7;63,2;65,4;76,2;50;82,1;80;80;;;24,5;28,9;26,9;23,8;50;39,3;33,3;20;;;81;82,5;91,5;91,3;93,1;98,1;100;100;;;59,6;55,6;62,3;69,8;45,8;75,4;76,1;80;;;20,9;24,7;26,1;21;41,7;31,5;33,3;20;;;0,81;0,81;0,87;0,47;0;0,37;0;0;;;0,92;0,92;0,95;1;1,63;1,18;1,36;1,61;;;"Uniwersytet w Białymstoku";"UWB"
"2014 - 2016";3830;1;"Dziedzina nauk humanistycznych";316;73,7;9,9;17,2;12,4;11,2;49,4;1,9;3,5;;;312;4;98,7;1,3;92,4;78,2;81,9;84,1;84,1;85;;76,3;56,6;61;63,8;65,1;66,6;;12,7;7,6;8,6;8,9;9,8;11,1;;69;60;68,5;72,3;75,2;78,6;;50,9;42,6;51,5;55,7;58,3;62,7;;7,6;6,2;6,7;7,3;8,8;10;;2913,78;2387,72;2880,18;3194,37;3683,97;4089;;3468,37;2917,32;3355,82;3667,42;4180,12;4521,8;;0,6;0,55;0,63;0,66;0,72;0,74;;169;131;103;80;38;16;10;2;2;0;84,4;84,4;87,7;89,7;92,3;93,8;100;;;;67,3;67;69,1;77,6;76,9;87,5;88,9;;;;8,8;10,1;12,3;17,2;11,5;12,5;11,1;;;;74,3;79,1;82,9;86,1;87,8;91,1;100;;;;59,4;63,5;62,1;72;73,7;77,7;88,9;;;;7,3;7,4;10,9;13,1;11,5;12,5;11,1;;;;1,77;0,84;0,23;0,56;0,29;1,3;0;;;;0,73;0,78;0,82;0,9;0,97;0,79;1,01;;;;"Uniwersytet Gdański";"UG"
"2014 - 2016";3830;5;"Dziedzina nauk ścisłych i przyrodniczych";295;56,6;12,6;15,6;11,4;9;51,5;5,1;10,8;;;286;9;96,9;3,1;85,8;50,8;61;65,1;74,2;79,3;;66,4;34,2;38,3;45,1;54,2;63,7;;7,1;3,7;5,4;5,1;5,1;5,4;;48,6;36,6;46,2;53;59,2;70;;34,5;25,2;31,5;37,7;45,2;57,6;;2,8;2;3,5;4,3;3,6;4;;2733,45;2001,84;2288,15;2761,74;3371,94;4416,25;;3679,22;2567,33;3038,62;3577,11;4286,56;5195,35;;0,55;0,49;0,52;0,6;0,67;0,8;;130;99;78;57;42;47;32;11;1;0;87,2;85,9;86;80,6;81,5;91,1;86,2;90,9;;;70,6;74,4;78,9;66,7;63;86,7;86,2;90,9;;;8,3;9;10,5;19,4;18,5;0;0;0;;;76,8;80,8;80,4;77,5;78,1;84,4;86,2;90,9;;;59,9;67,9;71,2;62,7;58,3;83,9;86,2;90,9;;;7,6;6,8;8,2;13;16;0;0;0;;;0,19;0,47;0,68;0,24;0,18;0,07;0;0;;;0,84;0,84;0,97;1,05;0,98;1;1,23;1,35;;;"Uniwersytet Gdański";"UG"
"2014 - 2016";3830;6;"Dziedzina nauk społecznych";524;68,7;11,1;16,4;14,2;20,8;37,5;2,7;5,7;;;492;32;93,9;6,1;89,9;84,7;86,1;86,3;85,9;85,9;;76,3;64,7;65,8;67,6;68,1;67,9;;27,1;20;20,6;20,2;21,9;23,1;;78,3;74,5;79,2;80,8;81;81;;59,3;54,3;59,5;62,1;63,2;63,2;;17,6;16,7;17,6;17,7;19,1;20,2;;5323,68;4648,4;5179,71;5603,55;6226,86;6791,17;;5545,12;5030,84;5481,65;5826,92;6429,72;7028,36;;1,14;1,1;1,16;1,17;1,21;1,23;;343;266;195;113;59;33;25;14;8;2;84,8;80,5;81,3;82,2;80,6;84,4;81;81,8;83,3;;67;64,6;63,2;68,5;63,9;75;71,4;63,6;83,3;;23,1;23;25,2;23,3;22,2;18,8;19;9,1;0;;80,5;75;77,8;77,2;75,2;80,8;80,2;74,2;83,3;;62,3;58,7;58,2;61,8;57,4;71,4;68,3;63,6;83,3;;20;19,9;23,3;17,4;15,3;14,6;13,9;9,1;0;;0,53;0,82;0,97;1,26;1,03;0,03;0,39;0;0;;1,25;1,24;1,32;1,25;1,29;1,4;1,59;1,4;1,87;;"Uniwersytet Gdański";"UG"
"2014 - 2016";3831;1;"Dziedzina nauk humanistycznych";372;44,9;14,4;15;9;13,8;47,9;4;14,2;;;358;14;96,2;3,8;89;63,4;68,3;71,2;71,8;77,4;;66,9;40,1;44,1;44,6;51,6;61,3;;10,5;6,2;6,5;6,5;8,3;9,7;;53,9;45,4;50,4;54,7;59,4;68;;38,6;31,8;35,6;39,3;43,4;54,3;;6,1;5,3;5,1;5,7;6,6;8,4;;2376,12;1931,85;2215,11;2629,31;3011,78;3754,07;;3219,86;2620,54;3099,31;3602,1;3665,14;4129,49;;0,51;0,47;0,51;0,57;0,61;0,71;;141;110;76;51;31;68;45;25;3;3;81,2;77,9;73,1;74,1;75;89,7;88,4;81,8;;;64,1;66,3;65,4;66,7;75;80,9;81,4;72,7;;;10,3;9,3;9,6;22,2;16,7;13,2;11,6;13,6;;;73,6;71,3;69,7;71,3;75;81;85,5;81,8;;;59,2;60,9;62;63,3;75;70,5;77,3;72,7;;;8,2;7,8;9,3;19,1;16,7;9,1;8,7;13,6;;;0,49;0,76;0,27;0,96;0;0,31;0,08;0,41;;;0,78;0,91;1,04;1,15;0,69;0,81;0,94;1,02;;;"Uniwersytet im. Adama Mickiewicza w Poznaniu";"UAMP"
"2014 - 2016";3831;5;"Dziedzina nauk ścisłych i przyrodniczych";312;38,8;18,2;12,4;9,9;14;45,5;8;19,2;;;302;10;96,8;3,2;75,3;42,3;39,1;44,6;52,2;67,9;;56,7;24,7;25,3;30,8;37,8;56,4;;6,1;3,5;3,2;3,8;3,8;5,1;;35;27,3;29,1;34,4;40,4;54,3;;25;17;19,5;24,3;30,4;43,8;;2,6;2,6;2,6;3,3;3,1;3,7;;2707,02;1794,46;2198,08;2449,64;3093,65;4221,89;;3543,39;2562,19;2893,58;3116,98;3849,19;4629,98;;0,56;0,45;0,53;0,54;0,64;0,8;;96;74;56;38;28;78;49;15;4;3;78,4;84,6;79,4;75;33,3;94,9;89,8;80;75;66,7;67,6;69,2;61,8;50;16,7;92,3;87,8;80;75;66,7;10,8;11,5;20,6;25;16,7;1,3;6,1;0;0;0;72,3;78,7;73,8;72,4;33,3;80,1;86,9;80;64,6;52,8;59,2;62,5;51,5;47,4;16,7;75,1;84,7;80;64,6;52,8;6,3;10,1;17,2;25;16,7;0,1;4,4;0;0;0;1,53;1,58;1,2;1,76;0;0,18;0,24;1,29;0;0;0,92;1,02;1,04;0,97;;1;1,32;1,45;1,09;;"Uniwersytet im. Adama Mickiewicza w Poznaniu";"UAMP"
