"U_ROK_OD";"U_UCZELNIA_ID";"U_POZIOM";"U_N";"U_N_1L";"U_N_2L";"U_N_3L";"U_N_4L";"U_N_5L";"U_N_6L";"U_1L_TERM_DYP";"U_1L_TERMP1_DYP";"U_1L_TERMP2_DYP";"U_2L_TERM_2";"U_2L_TERM_DYP";"U_2L_TERMP1_DYP";"U_2L_TERMP2_DYP";"U_3L_TERM_2";"U_3L_TERM_3";"U_3L_TERM_DYP";"U_3L_TERMP1_DYP";"U_3L_TERMP2_DYP";"U_4L_TERM_2";"U_4L_TERM_3";"U_4L_TERM_4";"U_4L_TERM_DYP";"U_4L_TERMP1_DYP";"U_4L_TERMP2_DYP";"U_5L_TERM_2";"U_5L_TERM_3";"U_5L_TERM_4";"U_5L_TERM_5";"U_5L_TERM_DYP";"U_5L_TERMP1_DYP";"U_5L_TERMP2_DYP";"U_6L_TERM_2";"U_6L_TERM_3";"U_6L_TERM_4";"U_6L_TERM_5";"U_6L_TERM_6";"U_6L_TERM_DYP";"U_6L_TERMP1_DYP";"U_6L_TERMP2_DYP";"U_PROC_DROPOUT_1L";"U_PROC_DROPOUT_2L";"U_PROC_DROPOUT_3L";"U_PROC_DROPOUT_4L";"U_PROC_DROPOUT_5L";"U_PROC_DROPOUT_6L";"U_2L_DROP_1";"U_2L_DROP_2";"U_3L_DROP_1";"U_3L_DROP_2";"U_3L_DROP_3";"U_4L_DROP_1";"U_4L_DROP_2";"U_4L_DROP_3";"U_4L_DROP_4";"U_5L_DROP_1";"U_5L_DROP_2";"U_5L_DROP_3";"U_5L_DROP_4";"U_5L_DROP_5";"U_6L_DROP_1";"U_6L_DROP_2";"U_6L_DROP_3";"U_6L_DROP_4";"U_6L_DROP_5";"U_6L_DROP_6";"U_PROC_PRZERWA_1L";"U_PROC_PRZERWA_2L";"U_PROC_PRZERWA_3L";"U_PROC_PRZERWA_4L";"U_PROC_PRZERWA_5L";"U_PROC_PRZERWA_6L";"U_2L_PRZERWA_1";"U_2L_PRZERWA_2";"U_3L_PRZERWA_1";"U_3L_PRZERWA_2";"U_3L_PRZERWA_3";"U_4L_PRZERWA_1";"U_4L_PRZERWA_2";"U_4L_PRZERWA_3";"U_4L_PRZERWA_4";"U_5L_PRZERWA_1";"U_5L_PRZERWA_2";"U_5L_PRZERWA_3";"U_5L_PRZERWA_4";"U_5L_PRZERWA_5";"U_6L_PRZERWA_1";"U_6L_PRZERWA_2";"U_6L_PRZERWA_3";"U_6L_PRZERWA_4";"U_6L_PRZERWA_5";"U_6L_PRZERWA_6";"U_PROC_KOREKTA_1L";"U_PROC_KOREKTA_2L";"U_PROC_KOREKTA_3L";"U_PROC_KOREKTA_4L";"U_PROC_KOREKTA_5L";"U_PROC_KOREKTA_6L";"U_2L_KOREKTA_1";"U_2L_KOREKTA_2";"U_3L_KOREKTA_1";"U_3L_KOREKTA_2";"U_3L_KOREKTA_3";"U_4L_KOREKTA_1";"U_4L_KOREKTA_2";"U_4L_KOREKTA_3";"U_4L_KOREKTA_4";"U_5L_KOREKTA_1";"U_5L_KOREKTA_2";"U_5L_KOREKTA_3";"U_5L_KOREKTA_4";"U_5L_KOREKTA_5";"U_6L_KOREKTA_1";"U_6L_KOREKTA_2";"U_6L_KOREKTA_3";"U_6L_KOREKTA_4";"U_6L_KOREKTA_5";"U_6L_KOREKTA_6";"U_PROC_DROPOUT";"U_PROC_PRZERWA";"U_PROC_KOREKTA";"U_PROC_KONT_UCZ";"U_PROC_KONT_POZAUCZ";"U_N_NDZIE1";"U_N_NDZIE2";"U_N_NDZIE3";"U_N_NDZIE4";"U_N_NDZIE5";"U_N_NDZIE6";"U_N_NDZIE7";"U_N_NDZIE8";"U_PROC_DROP_NDZIE1";"U_PROC_DROP_NDZIE2";"U_PROC_DROP_NDZIE3";"U_PROC_DROP_NDZIE4";"U_PROC_DROP_NDZIE5";"U_PROC_DROP_NDZIE6";"U_PROC_DROP_NDZIE7";"U_PROC_DROP_NDZIE8";"U_PROC_PRZERWA_NDZIE1";"U_PROC_PRZERWA_NDZIE2";"U_PROC_PRZERWA_NDZIE3";"U_PROC_PRZERWA_NDZIE4";"U_PROC_PRZERWA_NDZIE5";"U_PROC_PRZERWA_NDZIE6";"U_PROC_PRZERWA_NDZIE7";"U_PROC_PRZERWA_NDZIE8";"U_PROC_KOREKTA_NDZIE1";"U_PROC_KOREKTA_NDZIE2";"U_PROC_KOREKTA_NDZIE3";"U_PROC_KOREKTA_NDZIE4";"U_PROC_KOREKTA_NDZIE5";"U_PROC_KOREKTA_NDZIE6";"U_PROC_KOREKTA_NDZIE7";"U_PROC_KOREKTA_NDZIE8";"U_N_NOWESTUDIA";"U_N_NOWESTUDIA_NDZIE1";"U_N_NOWESTUDIA_NDZIE2";"U_N_NOWESTUDIA_NDZIE3";"U_N_NOWESTUDIA_NDZIE4";"U_N_NOWESTUDIA_NDZIE5";"U_N_NOWESTUDIA_NDZIE6";"U_N_NOWESTUDIA_NDZIE7";"U_N_NOWESTUDIA_NDZIE8";"U_NDZIE1_UCZ_NDZIE1";"U_NDZIE1_UCZ_NDZIE2";"U_NDZIE1_UCZ_NDZIE3";"U_NDZIE1_UCZ_NDZIE4";"U_NDZIE1_UCZ_NDZIE5";"U_NDZIE1_UCZ_NDZIE6";"U_NDZIE1_UCZ_NDZIE7";"U_NDZIE1_UCZ_NDZIE8";"U_NDZIE1_POZAUCZ_NDZIE1";"U_NDZIE1_POZAUCZ_NDZIE2";"U_NDZIE1_POZAUCZ_NDZIE3";"U_NDZIE1_POZAUCZ_NDZIE4";"U_NDZIE1_POZAUCZ_NDZIE5";"U_NDZIE1_POZAUCZ_NDZIE6";"U_NDZIE1_POZAUCZ_NDZIE7";"U_NDZIE1_POZAUCZ_NDZIE8";"U_NDZIE2_UCZ_NDZIE1";"U_NDZIE2_UCZ_NDZIE2";"U_NDZIE2_UCZ_NDZIE3";"U_NDZIE2_UCZ_NDZIE4";"U_NDZIE2_UCZ_NDZIE5";"U_NDZIE2_UCZ_NDZIE6";"U_NDZIE2_UCZ_NDZIE7";"U_NDZIE2_UCZ_NDZIE8";"U_NDZIE2_POZAUCZ_NDZIE1";"U_NDZIE2_POZAUCZ_NDZIE2";"U_NDZIE2_POZAUCZ_NDZIE3";"U_NDZIE2_POZAUCZ_NDZIE4";"U_NDZIE2_POZAUCZ_NDZIE5";"U_NDZIE2_POZAUCZ_NDZIE6";"U_NDZIE2_POZAUCZ_NDZIE7";"U_NDZIE2_POZAUCZ_NDZIE8";"U_NDZIE3_UCZ_NDZIE1";"U_NDZIE3_UCZ_NDZIE2";"U_NDZIE3_UCZ_NDZIE3";"U_NDZIE3_UCZ_NDZIE4";"U_NDZIE3_UCZ_NDZIE5";"U_NDZIE3_UCZ_NDZIE6";"U_NDZIE3_UCZ_NDZIE7";"U_NDZIE3_UCZ_NDZIE8";"U_NDZIE3_POZAUCZ_NDZIE1";"U_NDZIE3_POZAUCZ_NDZIE2";"U_NDZIE3_POZAUCZ_NDZIE3";"U_NDZIE3_POZAUCZ_NDZIE4";"U_NDZIE3_POZAUCZ_NDZIE5";"U_NDZIE3_POZAUCZ_NDZIE6";"U_NDZIE3_POZAUCZ_NDZIE7";"U_NDZIE3_POZAUCZ_NDZIE8";"U_NDZIE4_UCZ_NDZIE1";"U_NDZIE4_UCZ_NDZIE2";"U_NDZIE4_UCZ_NDZIE3";"U_NDZIE4_UCZ_NDZIE4";"U_NDZIE4_UCZ_NDZIE5";"U_NDZIE4_UCZ_NDZIE6";"U_NDZIE4_UCZ_NDZIE7";"U_NDZIE4_UCZ_NDZIE8";"U_NDZIE4_POZAUCZ_NDZIE1";"U_NDZIE4_POZAUCZ_NDZIE2";"U_NDZIE4_POZAUCZ_NDZIE3";"U_NDZIE4_POZAUCZ_NDZIE4";"U_NDZIE4_POZAUCZ_NDZIE5";"U_NDZIE4_POZAUCZ_NDZIE6";"U_NDZIE4_POZAUCZ_NDZIE7";"U_NDZIE4_POZAUCZ_NDZIE8";"U_NDZIE5_UCZ_NDZIE1";"U_NDZIE5_UCZ_NDZIE2";"U_NDZIE5_UCZ_NDZIE3";"U_NDZIE5_UCZ_NDZIE4";"U_NDZIE5_UCZ_NDZIE5";"U_NDZIE5_UCZ_NDZIE6";"U_NDZIE5_UCZ_NDZIE7";"U_NDZIE5_UCZ_NDZIE8";"U_NDZIE5_POZAUCZ_NDZIE1";"U_NDZIE5_POZAUCZ_NDZIE2";"U_NDZIE5_POZAUCZ_NDZIE3";"U_NDZIE5_POZAUCZ_NDZIE4";"U_NDZIE5_POZAUCZ_NDZIE5";"U_NDZIE5_POZAUCZ_NDZIE6";"U_NDZIE5_POZAUCZ_NDZIE7";"U_NDZIE5_POZAUCZ_NDZIE8";"U_NDZIE6_UCZ_NDZIE1";"U_NDZIE6_UCZ_NDZIE2";"U_NDZIE6_UCZ_NDZIE3";"U_NDZIE6_UCZ_NDZIE4";"U_NDZIE6_UCZ_NDZIE5";"U_NDZIE6_UCZ_NDZIE6";"U_NDZIE6_UCZ_NDZIE7";"U_NDZIE6_UCZ_NDZIE8";"U_NDZIE6_POZAUCZ_NDZIE1";"U_NDZIE6_POZAUCZ_NDZIE2";"U_NDZIE6_POZAUCZ_NDZIE3";"U_NDZIE6_POZAUCZ_NDZIE4";"U_NDZIE6_POZAUCZ_NDZIE5";"U_NDZIE6_POZAUCZ_NDZIE6";"U_NDZIE6_POZAUCZ_NDZIE7";"U_NDZIE6_POZAUCZ_NDZIE8";"U_NDZIE7_UCZ_NDZIE1";"U_NDZIE7_UCZ_NDZIE2";"U_NDZIE7_UCZ_NDZIE3";"U_NDZIE7_UCZ_NDZIE4";"U_NDZIE7_UCZ_NDZIE5";"U_NDZIE7_UCZ_NDZIE6";"U_NDZIE7_UCZ_NDZIE7";"U_NDZIE7_UCZ_NDZIE8";"U_NDZIE7_POZAUCZ_NDZIE1";"U_NDZIE7_POZAUCZ_NDZIE2";"U_NDZIE7_POZAUCZ_NDZIE3";"U_NDZIE7_POZAUCZ_NDZIE4";"U_NDZIE7_POZAUCZ_NDZIE5";"U_NDZIE7_POZAUCZ_NDZIE6";"U_NDZIE7_POZAUCZ_NDZIE7";"U_NDZIE7_POZAUCZ_NDZIE8";"U_NDZIE8_UCZ_NDZIE1";"U_NDZIE8_UCZ_NDZIE2";"U_NDZIE8_UCZ_NDZIE3";"U_NDZIE8_UCZ_NDZIE4";"U_NDZIE8_UCZ_NDZIE5";"U_NDZIE8_UCZ_NDZIE6";"U_NDZIE8_UCZ_NDZIE7";"U_NDZIE8_UCZ_NDZIE8";"U_NDZIE8_POZAUCZ_NDZIE1";"U_NDZIE8_POZAUCZ_NDZIE2";"U_NDZIE8_POZAUCZ_NDZIE3";"U_NDZIE8_POZAUCZ_NDZIE4";"U_NDZIE8_POZAUCZ_NDZIE5";"U_NDZIE8_POZAUCZ_NDZIE6";"U_NDZIE8_POZAUCZ_NDZIE7";"U_NDZIE8_POZAUCZ_NDZIE8";"U_UCZ_NDZIE1";"U_UCZ_NDZIE2";"U_UCZ_NDZIE3";"U_UCZ_NDZIE4";"U_UCZ_NDZIE5";"U_UCZ_NDZIE6";"U_UCZ_NDZIE7";"U_UCZ_NDZIE8";"U_POZAUCZ_NDZIE1";"U_POZAUCZ_NDZIE2";"U_POZAUCZ_NDZIE3";"U_POZAUCZ_NDZIE4";"U_POZAUCZ_NDZIE5";"U_POZAUCZ_NDZIE6";"U_POZAUCZ_NDZIE7";"U_POZAUCZ_NDZIE8";"U_NSEMESTR_NDZIE1";"U_NSEMESTR_NDZIE2";"U_NSEMESTR_NDZIE3";"U_NSEMESTR_NDZIE4";"U_NSEMESTR_NDZIE5";"U_NSEMESTR_NDZIE6";"U_NSEMESTR_NDZIE7";"U_NSEMESTR_NDZIE8";"U_DLSTUD_NDZIE1";"U_DLSTUD_NDZIE2";"U_DLSTUD_NDZIE3";"U_DLSTUD_NDZIE4";"U_DLSTUD_NDZIE5";"U_DLSTUD_NDZIE6";"U_DLSTUD_NDZIE7";"U_DLSTUD_NDZIE8";"U_NAZWA_UCZELNI";"U_UCZELNIA_SKROT";"U_POZIOM_TEKST_PL"
2015;2001;"2";129;0;0;129;0;0;0;;;;;;;;86,8;;73,6;73,6;75,2;;;;;;;;;;;;;;;;;;;;;;;;22,5;;;;;;51,7;48,3;0;;;;;;;;;;;;;;;;;;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;1,6;;;;;;;;;;;;;;;;;;;;;;;;22,5;0,8;1,6;0;100;0;0;0;0;0;129;0;0;;;;;;22,5;;;;;;;;0,8;;;;;;;;1,6;;;3;0;0;0;0;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;4,5;;;"Wyższa Szkoła Nauk Pedagogicznych";"WSEZNSL";"Studia drugiego stopnia"
2015;2002;"1";57;0;0;57;0;0;0;;;;;;;;87,7;84,2;61,4;64,9;68,4;;;;;;;;;;;;;;;;;;;;;;;;26,3;;;;;;20;20;60;;;;;;;;;;;;;;;;;;1,8;;;;;;;;;;;;;;;;;;;;;;;;;;3,5;;;;;;;;;;;;;;;;;;;;;;;;26,3;1,8;3,5;0;100;0;0;0;0;0;57;0;0;;;;;;26,3;;;;;;;;1,8;;;;;;;;3,5;;;3;0;0;0;0;0;3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;8,8;;;"Warszawska Szkoła Wyższa z siedzibą w Otwocku";"WSPNSO";"Studia pierwszego stopnia"
2015;2004;"1";39;0;0;39;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82,1;;;;;;100;0;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;17,9;;;;;;100;0;0;;;;;;;;;;;;;;;;82,1;0;17,9;0;100;39;0;0;0;0;0;0;0;82,1;;;;;;;;0;;;;;;;;17,9;;;;;;;;7;7;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;"Wyższa Szkoła Języków Obcych w Szczecinie";"WSJOS2";"Studia pierwszego stopnia"
2015;2005;"2";123;0;123;0;0;0;0;;;;50,4;37,4;39,8;39,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,2;;;;;26,7;73,3;;;;;;;;;;;;;;;;;;;;4,1;;;;;60;40;;;;;;;;;;;;;;;;;;;;43,9;;;;;98,1;1,9;;;;;;;;;;;;;;;;;;;12,2;4,1;43,9;0;100;0;0;0;0;0;123;0;0;;;;;;12,2;;;;;;;;4,1;;;;;;;;43,9;;;59;0;0;0;0;0;59;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;11,9;0;0;0;0;91,5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;11,9;0;0;0;0;91,5;0;0;;;;;;4;;;;;;;;7,5;;;"Wyższa Szkoła Pedagogiczna Związku Nauczycielstwa Polskiego w Warszawie";"WSPZNPW";"Studia drugiego stopnia"
2015;2006;"1";196;0;0;71;125;0;0;;;;;;;;67,6;64,8;63,4;64,8;64,8;57,6;49,6;47,2;24;24,8;25,6;;;;;;;;;;;;;;;;;;16,9;50,4;;;;;83,3;16,7;0;46;17,5;3,2;33,3;;;;;;;;;;;;;;1,4;4;;;;;;;;80;20;0;0;;;;;;;;;;;;;;16,9;14,4;;;;;91,7;8,3;0;83,3;16,7;0;0;;;;;;;;;;;;38,3;3,1;15,3;0;100;0;125;45;0;0;26;0;0;;50,4;26,7;;;0;;;;4;2,2;;;0;;;;14,4;17,8;;;15,4;;;36;0;23;9;0;0;4;0;0;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;8,7;30,4;0;4,3;26,1;43,5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;5,6;27,8;11,1;5,6;19,4;50;0;0;;7;6;;;6;;;;20;7,3;;;6,3;;;"Wyższa Szkoła Informatyki i Zarządzania  COPERNICUS  we Wrocławiu";"WSIZCW";"Studia pierwszego stopnia"
2015;2007;"1";3812;0;0;3532;280;0;0;;;;;;;;66,7;60,3;41,3;50,3;51,3;47,5;39,6;38,2;12,5;18,6;18,6;;;;;;;;;;;;;;;;;;33,5;59,3;;;;;56,9;16,2;26,9;56;6,6;4,2;33,1;;;;;;;;;;;;;;4,2;3,6;;;;;84,6;8,7;6,7;90;10;0;0;;;;;;;;;;;;;;11;18,6;;;;;84,3;10,3;5,4;82,7;11,5;5,8;0;;;;;;;;;;;;35,4;4,2;11,6;23,8;81,2;420;280;514;0;0;2366;0;231;39;59,3;30,5;;;32,7;;37,2;4,5;3,6;6;;;3,8;;3,9;19,5;18,6;18,3;;;7,4;;16;600;101;62;125;0;0;266;0;46;5;1;3;0;0;11,9;0;4;21,8;5;15,8;1;1;45,5;1;3;1,6;6,5;1,6;0;0;8,1;0;8,1;1,6;32,3;14,5;0;8,1;24,2;0;0;0,8;0,8;12;0;0;9,6;0;2,4;8,8;4;36;0,8;1,6;36,8;0;0,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,8;3,4;1,5;0;0;17,7;0;0,8;6,8;9,8;11,3;2,6;3;57,9;0,4;0,4;;;;;;;;;;;;;;;;;2,2;0;0;0;0;13;0;13;6,5;13;0;2,2;4,3;43,5;0;23,9;1,7;2,5;3,8;0;0;13,7;0;3,3;9,2;10,3;16,7;1,7;3;46,8;0,3;2,7;6;7,3;6;;;6;;6;11,4;24,1;9,5;;;8,7;;10,8;"Społeczna Akademia Nauk z siedzibą w Łodzi";"SWSPZL";"Studia pierwszego stopnia"
2015;2007;"2";2061;0;2061;0;0;0;0;;;;86,1;62,3;75,5;77,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;18,3;;;;;50;50;;;;;;;;;;;;;;;;;;;;1,2;;;;;79,2;20,8;;;;;;;;;;;;;;;;;;;;3;;;;;73,8;26,2;;;;;;;;;;;;;;;;;;;18,3;1,2;3;24,7;76,5;60;49;309;0;0;1643;0;0;50;30,6;12,6;;;17,9;;;3,3;0;0,6;;;1,2;;;18,3;4,1;5,2;;;1,9;;;85;13;2;18;0;0;52;0;0;7,7;0;0;0;0;7,7;0;0;46,2;0;7,7;0;0;38,5;0;0;;;;;;;;;;;;;;;;;0;0;33,3;0;0;0;0;0;5,6;0;55,6;0;0;5,6;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;25;0;0;11,5;5,8;5,8;0;0;53,8;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,2;0;7,1;0;0;16,5;0;0;15,3;4,7;16,5;0;0;41,2;0;0;4;3;4;;;4;;;12,4;6,2;5,4;;;5,2;;;"Społeczna Akademia Nauk z siedzibą w Łodzi";"SWSPZL";"Studia drugiego stopnia"
2015;2007;"JM";125;0;0;0;0;125;0;;;;;;;;;;;;;;;;;;;77,6;68,8;44,8;43,2;20,8;20,8;20,8;;;;;;;;;;;;;60;;;;;;;;;;;10,7;10,7;5,3;4;69,3;;;;;;;;;;;5,6;;;;;;;;;;;85,7;0;0;0;14,3;;;;;;;;;;;13,6;;;;;;;;;;;64,7;23,5;5,9;5,9;0;;;;;;;60;5,6;13,6;25;83,3;0;0;0;0;0;125;0;0;;;;;;60;;;;;;;;5,6;;;;;;;;13,6;;;24;0;0;0;0;0;24;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,2;0;4,2;0;0;16,7;0;0;0;0;8,3;4,2;4,2;62,5;0;4,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,2;0;4,2;0;0;16,7;0;0;0;0;8,3;4,2;4,2;62,5;0;4,2;;;;;;10;;;;;;;;31,3;;;"Społeczna Akademia Nauk z siedzibą w Łodzi";"SWSPZL";"Jednolite studia magisterskie"
2015;2008;"1";550;0;0;368;182;0;0;;;;;;;;73,6;66;40,2;46,2;46,5;75,8;53,8;58,2;25,3;48,4;48,4;;;;;;;;;;;;;;;;;;38,9;37,9;;;;;31,5;14;54,5;42;24,6;7,2;26,1;;;;;;;;;;;;;;5,2;4,4;;;;;63,2;5,3;31,6;62,5;12,5;25;0;;;;;;;;;;;;;;9,5;7,7;;;;;82,9;14,3;2,9;64,3;28,6;7,1;0;;;;;;;;;;;;38,5;4,9;8,9;3,9;97,4;52;182;0;0;0;316;0;0;38,5;37,9;;;;38,9;;;9,6;4,4;;;;4,4;;;19,2;7,7;;;;7,9;;;76;15;22;0;0;0;39;0;0;0;0;0;0;0;6,7;0;0;26,7;13,3;6,7;0;0;60;0;6,7;0;0;0;0;0;4,5;0;0;0;40,9;4,5;0;4,5;54,5;0;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;2,6;0;0;12,8;17,9;5,1;0;2,6;66,7;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;3,9;0;0;11,8;23,7;5,3;0;2,6;61,8;0;2,6;6;7;;;;6;;;12,9;11,6;;;;10;;;"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach";"WSZOPK";"Studia pierwszego stopnia"
2015;2008;"2";277;0;277;0;0;0;0;;;;84,1;55,6;78,3;78,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;19,1;;;;;43,4;56,6;;;;;;;;;;;;;;;;;;;;1,1;;;;;66,7;33,3;;;;;;;;;;;;;;;;;;;;1,1;;;;;100;0;;;;;;;;;;;;;;;;;;;19,1;1,1;1,1;16,7;100;0;83;0;0;0;194;0;0;;15,7;;;;20,6;;;;0;;;;1,5;;;;1,2;;;;1;;;6;0;1;0;0;0;5;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;4;;;;3,7;;;;5;;;"Wyższa Szkoła Zarządzania Ochroną Pracy w Katowicach";"WSZOPK";"Studia drugiego stopnia"
